,weights,lot,price,lot_quantity,quantity,sum
RBCM,25270.0,100,16.876,14,1400,23626.4
TGKBP,13520.0,100000,0.02248,6,600000,13488.0
RNFT,13280.0,1,235.9,56,56,13210.4
LENT,7550.0,1,998.5,7,7,6989.5
AFKS,6420.0,100,23.805,2,200,4761.0
HHRU,5340.0,1,4573.0,1,1,4573.0
AFLT,4030.0,10,48.43,8,80,3874.4
CIAN,3370.0,1,876.2,3,3,2628.6000000000004
UGLD,3140.0,1000,0.94,3,3000,2820.0
POSI,2990.0,1,2799.6,1,1,2799.6
GCHE,2910.0,1,5355.0,0,0,0.0
DELI,2860.0,1,349.0,8,8,2792.0
ASTR,2810.0,1,665.8,4,4,2663.2
OKEY,2730.0,10,35.47,7,70,2482.9
GLTR,2720.0,1,786.2,3,3,2358.6000000000004
SELG,2390.0,10,78.1,3,30,2343.0
OZON,1980.0,1,3852.0,0,0,0.0
PLZL,1410.0,1,13001.5,0,0,0.0
SFIN,1310.0,1,1852.0,0,0,0.0
ABIO,1220.0,10,117.5,1,10,1175.0
PMSBP,1110.0,10,246.6,0,0,0.0
