T,O,H,L,C,V
2021-05-01 00:15:00,0.010943,0.010945,0.010844,0.010915,10145.98
2021-05-01 00:30:00,0.010914,0.010962,0.010903,0.010959,3597.94
2021-05-01 00:45:00,0.010959,0.01096,0.010921,0.010948,3227.71
2021-05-01 01:00:00,0.0109489999999999,0.010953,0.01091,0.010926,4403.05
2021-05-01 01:15:00,0.01093,0.01093,0.010862,0.010862,5954.22
2021-05-01 01:30:00,0.010863,0.010895,0.010839,0.010854,5482.43
2021-05-01 01:45:00,0.010854,0.010892,0.010835,0.01089,5389.91
2021-05-01 02:00:00,0.01089,0.010894,0.01084,0.010845,4680.75
2021-05-01 02:15:00,0.010845,0.010862,0.010817,0.010818,5676.95
2021-05-01 02:30:00,0.010817,0.010832,0.010742,0.010813,9098.36
2021-05-01 02:45:00,0.01082,0.010848,0.0108,0.010832,2773.65
2021-05-01 03:00:00,0.010834,0.010856,0.0108019999999999,0.010804,2981.33
2021-05-01 03:15:00,0.010804,0.010862,0.0108019999999999,0.010844,3298.39
2021-05-01 03:30:00,0.010849,0.010856,0.0107409999999999,0.010753,7758.43
2021-05-01 03:45:00,0.01075,0.010826,0.01075,0.010791,7809.22
2021-05-01 04:00:00,0.010794,0.010798,0.010603,0.010687,19032.64
2021-05-01 04:15:00,0.0106909999999999,0.010712,0.010655,0.010666,7840.3
2021-05-01 04:30:00,0.010667,0.010723,0.01066,0.010715,8597.14
2021-05-01 04:45:00,0.010717,0.0108019999999999,0.010713,0.010773,11869.84
2021-05-01 05:00:00,0.010776,0.010804,0.010728,0.010752,9220.56
2021-05-01 05:15:00,0.010748,0.010763,0.010722,0.010737,5459.06
2021-05-01 05:30:00,0.010735,0.010793,0.0106769999999999,0.010683,8024.63
2021-05-01 05:45:00,0.010685,0.010692,0.01055,0.010609,17839.58
2021-05-01 06:00:00,0.010609,0.010799,0.010601,0.010763,17997.24
2021-05-01 06:15:00,0.010764,0.010989,0.01074,0.010973,26322.97
2021-05-01 06:30:00,0.010967,0.01104,0.010917,0.011005,22322.82
2021-05-01 06:45:00,0.011003,0.011006,0.010916,0.010962,11517.1
2021-05-01 07:00:00,0.010961,0.011049,0.010935,0.010936,6181.98
2021-05-01 07:15:00,0.010938,0.010959,0.010898,0.01093,4397.14
2021-05-01 07:30:00,0.01093,0.010986,0.010929,0.010983,5092.6
2021-05-01 07:45:00,0.0109819999999999,0.0109819999999999,0.010921,0.01093,5959.81
2021-05-01 08:00:00,0.010931,0.010983,0.01093,0.010955,5873.64
2021-05-01 08:15:00,0.010955,0.010959,0.010878,0.010906,9521.19
2021-05-01 08:30:00,0.010906,0.010933,0.01087,0.010877,9899.36
2021-05-01 08:45:00,0.010876,0.010896,0.010846,0.0108799999999999,3017.98
2021-05-01 09:00:00,0.010882,0.010928,0.0108709999999999,0.010916,5053.33
2021-05-01 09:15:00,0.010915,0.010918,0.010836,0.010909,5336.47
2021-05-01 09:30:00,0.010909,0.010914,0.01086,0.010862,4572.89
2021-05-01 09:45:00,0.0108609999999999,0.0109,0.0108609999999999,0.010875,4579.03
2021-05-01 10:00:00,0.010876,0.01089,0.010834,0.01084,12816.5
2021-05-01 10:15:00,0.01084,0.010882,0.010836,0.010844,10262.36
2021-05-01 10:30:00,0.010844,0.010858,0.010813,0.01085,7269.96
2021-05-01 10:45:00,0.010849,0.01086,0.010795,0.010828,9907.18
2021-05-01 11:00:00,0.010829,0.010854,0.010785,0.0108,7799.9
2021-05-01 11:15:00,0.0108,0.010842,0.010799,0.010827,5484.24
2021-05-01 11:30:00,0.010827,0.010839,0.01078,0.010784,6092.57
2021-05-01 11:45:00,0.010782,0.010853,0.010782,0.010847,5732.68
2021-05-01 12:00:00,0.010846,0.010912,0.010838,0.0108989999999999,2651.86
2021-05-01 12:15:00,0.0109,0.010907,0.010854,0.010884,2144.77
2021-05-01 12:30:00,0.010884,0.010886,0.010836,0.010865,5033.48
2021-05-01 12:45:00,0.010864,0.010887,0.010815,0.0108209999999999,2240.26
2021-05-01 13:00:00,0.010816,0.010827,0.010657,0.010713,12625.35
2021-05-01 13:15:00,0.010716,0.010763,0.010672,0.010749,4358.4
