method,return_method,span,look,horizon,n,balance
semicovariance,ema_historical_return,300,90,9,25,0.16969357514264174
semicovariance,ema_historical_return,300,97,12,18,0.16934071628191202
semicovariance,ema_historical_return,300,97,11,20,0.1684351509932475
semicovariance,ema_historical_return,300,86,11,21,0.1611595753712723
semicovariance,ema_historical_return,300,96,12,18,0.16022663893924644
semicovariance,ema_historical_return,300,83,9,26,0.16000463848254917
semicovariance,ema_historical_return,300,98,12,18,0.15950701905696413
semicovariance,ema_historical_return,300,94,11,20,0.1574845579423428
semicovariance,ema_historical_return,300,95,12,18,0.1573752435446119
semicovariance,ema_historical_return,300,93,11,20,0.1555656756489981
semicovariance,ema_historical_return,300,92,9,25,0.15475756902807203
semicovariance,ema_historical_return,300,97,10,22,0.15372265824827164
semicovariance,ema_historical_return,300,96,10,22,0.15315069560153685
semicovariance,ema_historical_return,300,96,11,20,0.15286785409926948
semicovariance,ema_historical_return,300,84,12,19,0.15211454602514562
semicovariance,ema_historical_return,300,95,11,20,0.1518846066397367
semicovariance,ema_historical_return,300,82,9,26,0.15179162363995385
semicovariance,ema_historical_return,300,98,11,20,0.15154221136857426
semicovariance,ema_historical_return,300,98,9,24,0.15137102711568598
semicovariance,ema_historical_return,300,95,10,22,0.15131890901608674
semicovariance,ema_historical_return,300,99,9,24,0.15129306407779755
semicovariance,ema_historical_return,300,91,9,25,0.15116271425955316
semicovariance,ema_historical_return,300,82,10,23,0.14928608860372827
semicovariance,ema_historical_return,300,87,11,21,0.14824768643222996
semicovariance,ema_historical_return,300,93,12,18,0.1478153207684798
semicovariance,ema_historical_return,300,86,12,19,0.1477377979298797
semicovariance,ema_historical_return,300,92,10,22,0.14566456317901227
semicovariance,ema_historical_return,300,96,9,25,0.14435468634408125
semicovariance,ema_historical_return,300,83,12,19,0.1436462474004044
semicovariance,ema_historical_return,300,89,9,25,0.14284874091665645
semicovariance,ema_historical_return,300,90,10,23,0.14245766206276417
semicovariance,ema_historical_return,300,94,12,18,0.14200983098705147
semicovariance,ema_historical_return,300,85,12,19,0.14062934222481904
semicovariance,ema_historical_return,300,97,8,28,0.14054491933880658
semicovariance,ema_historical_return,300,86,10,23,0.13969819856937102
semicovariance,ema_historical_return,300,87,9,26,0.13962116422007517
semicovariance,ema_historical_return,300,84,8,29,0.13956781231435417
semicovariance,ema_historical_return,300,92,8,28,0.13920262787218943
semicovariance,ema_historical_return,300,99,10,22,0.1390202839089921
semicovariance,ema_historical_return,300,98,8,28,0.1389176019391605
semicovariance,ema_historical_return,300,82,11,21,0.1387058466415444
semicovariance,ema_historical_return,300,89,8,29,0.13863406123803185
semicovariance,ema_historical_return,300,82,12,19,0.13824891668394754
semicovariance,ema_historical_return,300,88,12,19,0.13823179553108675
semicovariance,ema_historical_return,300,85,11,21,0.13817294459268048
semicovariance,ema_historical_return,300,87,10,23,0.13756106806906865
semicovariance,ema_historical_return,300,94,10,22,0.13750293155051257
semicovariance,ema_historical_return,300,92,11,20,0.13728584887833875
