method,look,horizon,n,balance
semicovariance,101,9,103,1.3824584724278737
semicovariance,102,9,103,1.3291508466931896
semicovariance,102,4,233,1.317749959847526
semicovariance,92,9,104,1.274545821450471
semicovariance,102,8,116,1.2643495676600316
semicovariance,98,6,155,1.2612158867743795
semicovariance,93,9,104,1.213618878692161
semicovariance,101,6,155,1.1886330038268973
semicovariance,100,9,103,1.1820611350689727
semicovariance,72,7,137,1.1809765782134805
semicovariance,98,7,133,1.1506301415940936
semicovariance,86,6,157,1.1315397099921616
semicovariance,91,7,134,1.1290082838281217
semicovariance,95,9,103,1.1173709494090664
semicovariance,102,7,132,1.1027693805366976
semicovariance,101,8,116,1.0848495322623473
semicovariance,92,6,156,1.0785667422681866
semicovariance,99,7,133,1.0576003319310494
semicovariance,87,8,117,1.0464962057623606
semicovariance,100,6,155,1.0397095529189022
semicovariance,87,6,157,1.0376793001065079
semicovariance,100,5,186,1.036891592648467
semicovariance,95,8,116,1.0326474723603762
semicovariance,100,8,116,1.0313755129685989
semicovariance,90,4,236,1.030280492872457
semicovariance,96,8,116,1.018656383125676
semicovariance,93,5,188,1.01806525794024
semicovariance,102,6,155,1.01015303671751
semicovariance,102,5,186,1.0086549420024706
semicovariance,99,6,155,1.0037801067193373
semicovariance,102,3,311,1.0034849766626464
semicovariance,91,9,104,0.9937018023845672
semicovariance,92,7,134,0.9890542316893862
semicovariance,100,7,133,0.9861910393110608
semicovariance,88,8,117,0.9852871754683808
semicovariance,93,6,156,0.9815064814903249
semicovariance,101,5,186,0.9815003333352696
semicovariance,94,9,103,0.9799760528942575
semicovariance,98,5,187,0.9731971661205588
semicovariance,101,7,132,0.9678093591117309
semicovariance,93,7,134,0.9652840281829405
semicovariance,81,6,158,0.9626503486823532
semicovariance,88,5,189,0.9609320738933311
semicovariance,98,4,234,0.958839997456195
semicovariance,94,8,117,0.9499641494138188
semicovariance,101,3,311,0.9492878969839891
semicovariance,93,8,117,0.9475118141723413
semicovariance,101,4,233,0.943921147587549
semicovariance,86,4,237,0.9404456962022332
semicovariance,97,6,155,0.9375482745204131
semicovariance,98,9,103,0.9326253153565274
semicovariance,98,3,312,0.9318170837873647
semicovariance,99,9,103,0.9297358926738007
semicovariance,96,9,103,0.923603285444468
semicovariance,97,9,103,0.9187423352523544
semicovariance,95,6,156,0.9180120922153371
semicovariance,94,7,133,0.9169782004385316
semicovariance,89,4,236,0.9162636358750796
semicovariance,86,7,135,0.9141207596538417
semicovariance,91,4,235,0.9103279906040508
semicovariance,99,5,186,0.9087519914896125
semicovariance,100,3,311,0.9069272540627991
semicovariance,89,5,188,0.9040758987412587
semicovariance,99,4,233,0.9037949350257505
semicovariance,86,3,316,0.9036858083477473
semicovariance,95,5,187,0.8953155889741098
semicovariance,94,5,187,0.8943549981901828
semicovariance,73,7,136,0.8933470489958475
semicovariance,80,6,158,0.8931108288332329
semicovariance,91,6,156,0.8919840215168474
semicovariance,94,4,235,0.8900262120731308
semicovariance,90,3,315,0.8855458737084454
semicovariance,98,8,116,0.885473944360526
semicovariance,89,8,117,0.8829081867690809
semicovariance,90,5,188,0.8778666464465782
semicovariance,71,7,137,0.8683330920128053
semicovariance,87,3,316,0.8675070533655385
semicovariance,99,8,116,0.8632943884335118
semicovariance,90,8,117,0.855218249545902
semicovariance,96,5,187,0.8521933006098094
semicovariance,90,9,104,0.8410882148300902
semicovariance,94,6,156,0.8389295730335362
semicovariance,86,9,104,0.8336642265408686
semicovariance,93,3,314,0.8336595363566834
semicovariance,86,8,118,0.824870194790212
semicovariance,90,7,134,0.8195008414682999
semicovariance,87,4,236,0.8189339120081411
semicovariance,91,8,117,0.8178432449842421
semicovariance,95,7,133,0.8163703940841651
semicovariance,99,3,312,0.8160924172636013
semicovariance,85,8,118,0.814905203538989
semicovariance,92,5,188,0.8141582592243468
semicovariance,95,4,234,0.8118020525052119
semicovariance,83,5,190,0.8099112806183001
semicovariance,89,6,157,0.8077664339127902
semicovariance,97,8,116,0.8048666930016617
semicovariance,87,7,134,0.8044678899290993
semicovariance,86,5,189,0.8006655368226887
ledoit_wolf_constant_correlation,99,7,133,0.7937525500834605
semicovariance,91,5,188,0.791855935223932
semicovariance,75,9,106,0.7916536491373299
semicovariance,97,3,312,0.7913066410051373
semicovariance,93,4,235,0.7907094710204974
semicovariance,97,4,234,0.790474176383927
semicovariance,85,7,135,0.790175440940657
semicovariance,84,3,317,0.7898286835200237
semicovariance,81,5,190,0.7839414379041103
semicovariance,84,5,189,0.7831909430596389
semicovariance,88,7,134,0.7750859171072996
semicovariance,89,7,134,0.7714374602157912
semicovariance,96,3,313,0.7711956683616945
semicovariance,72,3,321,0.7702521186540638
semicovariance,80,7,135,0.770119811098279
semicovariance,80,5,190,0.7697118158794045
semicovariance,92,3,314,0.7689285334689743
ledoit_wolf_constant_correlation,102,5,186,0.7676850746898398
semicovariance,74,9,106,0.7657186051589997
semicovariance,92,8,117,0.7641505635467882
semicovariance,96,7,133,0.7625645036139972
semicovariance,84,7,135,0.762369673999465
semicovariance,87,5,189,0.7616634768121273
semicovariance,89,3,315,0.7599739141890158
semicovariance,83,9,105,0.7565496122969935
semicovariance,85,4,237,0.7555942755046283
semicovariance,95,3,313,0.7540799352329005
ledoit_wolf_constant_correlation,98,6,155,0.7531257130076381
semicovariance,100,4,233,0.7529398202473188
semicovariance,75,6,159,0.7524485454486594
semicovariance,79,5,190,0.7513423300134823
semicovariance,97,5,187,0.7483871565126429
semicovariance,97,7,133,0.7472656724426507
semicovariance,94,3,313,0.7453662919844601
ledoit_wolf_constant_correlation,86,6,157,0.7422094762870011
semicovariance,82,6,158,0.7400299504510954
ledoit_wolf_constant_correlation,92,7,134,0.7377935565084085
semicovariance,79,7,136,0.7373327383194007
ledoit_wolf_constant_correlation,101,9,103,0.7366432199583266
semicovariance,74,6,159,0.7342050482450428
ledoit_wolf_constant_correlation,100,7,133,0.7297666059069547
semicovariance,72,6,160,0.7288139878542722
semicovariance,73,6,159,0.7286403920985886
semicovariance,78,5,191,0.7275406148693812
ledoit_wolf_constant_correlation,98,7,133,0.7262831087713688
semicovariance,71,5,192,0.7239932726650915
semicovariance,85,6,157,0.7232920109618192
semicovariance,79,8,118,0.7229720852427908
semicovariance,81,3,318,0.7221000793742054
ledoit_wolf_constant_correlation,93,7,134,0.7215146546097663
ledoit_wolf_constant_correlation,102,4,233,0.7210616081393213
semicovariance,82,5,190,0.7192206333736519
semicovariance,84,8,118,0.7169626967890839
ledoit_wolf_constant_correlation,72,7,137,0.7134310781000475
ledoit_wolf_constant_correlation,92,9,104,0.7124703581282118
semicovariance,90,6,157,0.7108810246565501
semicovariance,76,5,191,0.71058194069518
semicovariance,96,6,156,0.7100881184920951
semicovariance,91,3,314,0.705093652279114
ledoit_wolf_constant_correlation,92,6,156,0.7039762215114784
semicovariance,96,4,234,0.7037568465192803
semicovariance,75,3,320,0.7008870129013901
semicovariance,77,7,136,0.6996450884790468
semicovariance,88,6,157,0.698459750001529
ledoit_wolf_constant_correlation,96,8,116,0.6977236542339835
semicovariance,87,9,104,0.6959055601780165
ledoit_wolf_constant_correlation,97,6,155,0.694332382628862
semicovariance,84,9,105,0.6932714158510004
ledoit_wolf_constant_correlation,86,7,135,0.6930400135942619
semicovariance,82,9,105,0.6929196254645236
semicovariance,79,6,158,0.6927757590529683
ledoit_wolf_constant_correlation,101,6,155,0.6910901268125738
semicovariance,74,4,240,0.6905265179975967
semicovariance,85,3,316,0.6903109579423725
semicovariance,82,4,238,0.6901647205279474
ledoit_wolf_constant_correlation,100,9,103,0.6892100617529211
ledoit_wolf_constant_correlation,95,6,156,0.6876456205631133
ledoit_wolf_constant_correlation,85,7,135,0.6873674178939693
semicovariance,89,9,104,0.6873211991883752
ledoit_wolf_constant_correlation,101,5,186,0.687276375047037
semicovariance,71,4,240,0.6867397764043024
semicovariance,85,5,189,0.6853934132348724
semicovariance,92,4,235,0.6847551424204465
ledoit_wolf_constant_correlation,101,8,116,0.6817289146595253
ledoit_wolf_single_factor,99,7,133,0.6814620939920014
ledoit_wolf_constant_correlation,100,8,116,0.6810498101697058
semicovariance,80,8,118,0.6809447953253126
semicovariance,78,3,319,0.6797734226039887
ledoit_wolf_constant_correlation,102,8,116,0.6797015928289859
semicovariance,78,4,239,0.6777260439398427
semicovariance,81,9,105,0.6777247520421945
semicovariance,88,4,236,0.6758791455430448
semicovariance,83,4,237,0.6751736804860986
semicovariance,88,3,315,0.6747836555942857
ledoit_wolf_constant_correlation,102,9,103,0.6740346403962137
ledoit_wolf_constant_correlation,100,6,155,0.6712844791828381
semicovariance,83,6,158,0.6709849616677158
semicovariance,88,9,104,0.6698927261645038
ledoit_wolf_constant_correlation,86,3,316,0.6688799699598933
semicovariance,84,4,237,0.6663633086959819
ledoit_wolf_constant_correlation,91,7,134,0.6649043990371111
semicovariance,83,8,118,0.6619892859424098
semicovariance,75,5,191,0.6616027525063084
ledoit_wolf_constant_correlation,101,3,311,0.6615547843866015
semicovariance,85,9,104,0.660823075649399
ledoit_wolf_constant_correlation,100,5,186,0.6607238422702053
semicovariance,71,8,119,0.6600784985314797
ledoit_wolf_single_factor,92,9,104,0.6596947640536606
ledoit_wolf_single_factor,100,7,133,0.6587602952484976
ledoit_wolf_constant_correlation,98,3,312,0.6582537850195802
ledoit_wolf_single_factor,98,6,155,0.6577147358217891
ledoit_wolf_constant_correlation,95,5,187,0.6558623291816218
ledoit_wolf_constant_correlation,80,6,158,0.6549461914120703
ledoit_wolf_constant_correlation,90,4,236,0.6547164216425767
ledoit_wolf_constant_correlation,100,3,311,0.6531933950943352
ledoit_wolf_single_factor,101,9,103,0.6526986497320071
ledoit_wolf_single_factor,86,6,157,0.6517709243382257
semicovariance,71,6,160,0.6515279765713172
ledoit_wolf_constant_correlation,71,7,137,0.6502344930356089
ledoit_wolf_constant_correlation,75,9,106,0.6499707148505753
ledoit_wolf_constant_correlation,101,7,132,0.6496451971906605
ledoit_wolf_single_factor,102,5,186,0.6489360466551495
semicovariance,72,8,119,0.6479533236326278
ledoit_wolf_constant_correlation,91,6,156,0.646990069640201
ledoit_wolf_constant_correlation,93,5,188,0.6466767275083894
ledoit_wolf_constant_correlation,98,5,187,0.6463979363028927
ledoit_wolf_constant_correlation,85,6,157,0.6449828587021078
semicovariance,76,9,105,0.644009882032584
semicovariance,73,5,192,0.6413640284603263
ledoit_wolf_constant_correlation,73,7,136,0.6412570930810015
ledoit_wolf_constant_correlation,93,9,104,0.6404654248772568
semicovariance,71,3,321,0.640172151404462
ledoit_wolf_constant_correlation,84,7,135,0.6400793458126482
ledoit_wolf_constant_correlation,94,6,156,0.6391286150133932
ledoit_wolf_constant_correlation,94,7,133,0.6387545058736679
semicovariance,79,4,238,0.6386227969691447
ledoit_wolf_single_factor,93,7,134,0.6383209009449635
semicovariance,77,9,105,0.637867026298784
ledoit_wolf_constant_correlation,79,7,136,0.6370914460852523
semicovariance,82,8,118,0.6360029448355078
ledoit_wolf_constant_correlation,95,9,103,0.6358621724961245
ledoit_wolf_constant_correlation,102,6,155,0.6358222423491787
semicovariance,84,6,158,0.6348097002177622
ledoit_wolf_single_factor,98,7,133,0.6347298354063632
ledoit_wolf_constant_correlation,99,5,186,0.632341430741484
ledoit_wolf_constant_correlation,86,4,237,0.6322769162640409
ledoit_wolf_constant_correlation,99,8,116,0.6321218340994036
ledoit_wolf_constant_correlation,88,8,117,0.631831822047986
ledoit_wolf_single_factor,102,4,233,0.6314314067300294
ledoit_wolf_constant_correlation,74,9,106,0.6305812420784975
ledoit_wolf_constant_correlation,79,6,158,0.630478653581704
ledoit_wolf_single_factor,96,8,116,0.6299890592375308
semicovariance,78,9,105,0.6296054344359874
semicovariance,80,3,318,0.6291050313534394
ledoit_wolf_single_factor,92,7,134,0.6289456835524555
ledoit_wolf_constant_correlation,83,5,190,0.6283648228915142
ledoit_wolf_constant_correlation,83,9,105,0.6280831579707121
ledoit_wolf_single_factor,86,7,135,0.627297263777113
ledoit_wolf_constant_correlation,98,8,116,0.6269660654886855
ledoit_wolf_constant_correlation,102,3,311,0.6268441150229895
ledoit_wolf_constant_correlation,98,4,234,0.6266912911194188
ledoit_wolf_single_factor,93,5,188,0.6265888937589333
ledoit_wolf_single_factor,92,6,156,0.6261267809697866
ledoit_wolf_constant_correlation,88,5,189,0.6261100430927236
ledoit_wolf_constant_correlation,101,4,233,0.6257004551105838
ledoit_wolf_constant_correlation,90,8,117,0.6252752122489589
ledoit_wolf_constant_correlation,83,6,158,0.6246845966943253
ledoit_wolf_single_factor,102,9,103,0.6238575239755845
ledoit_wolf_constant_correlation,99,4,233,0.6235182154742731
ledoit_wolf_constant_correlation,94,5,187,0.6234836627034742
ledoit_wolf_constant_correlation,89,4,236,0.6232755197002515
ledoit_wolf_constant_correlation,78,5,191,0.6226742447560266
ledoit_wolf_constant_correlation,100,4,233,0.6220795401251632
ledoit_wolf_constant_correlation,76,5,191,0.6217535134203417
ledoit_wolf_single_factor,100,9,103,0.6211363923778018
semicovariance,78,6,159,0.6204068111991377
ledoit_wolf_constant_correlation,91,9,104,0.6194177546654084
semicovariance,73,4,240,0.6191911752206825
ledoit_wolf_constant_correlation,89,3,315,0.617712437498813
ledoit_wolf_constant_correlation,82,8,118,0.6159365698844906
ledoit_wolf_constant_correlation,85,8,118,0.6158638966578471
ledoit_wolf_single_factor,72,7,137,0.6150795743608943
ledoit_wolf_constant_correlation,94,9,103,0.6149736088833693
ledoit_wolf_single_factor,94,7,133,0.6149032897505117
ledoit_wolf_constant_correlation,78,7,136,0.613362652155394
ledoit_wolf_single_factor,101,6,155,0.6124241735157693
ledoit_wolf_constant_correlation,97,8,116,0.6120181433154482
semicovariance,74,5,191,0.6105433963540641
ledoit_wolf_constant_correlation,99,6,155,0.610527304458836
semicovariance,72,9,106,0.6103087917342294
ledoit_wolf_single_factor,98,5,187,0.6095357821826772
sample_cov,100,7,133,0.6093328720575842
ledoit_wolf_single_factor,97,6,155,0.6091709071564055
ledoit_wolf_constant_correlation,89,8,117,0.6089379159701315
ledoit_wolf_single_factor,101,8,116,0.6086430049938709
sample_cov,102,9,103,0.6085612024884636
ledoit_wolf_single_factor,102,8,116,0.6084879402072986
ledoit_wolf_single_factor,85,7,135,0.6083698789256433
semicovariance,81,4,238,0.6081944267818421
ledoit_wolf_constant_correlation,97,5,187,0.6081226598382875
ledoit_wolf_constant_variance,93,7,134,0.607642952731386
ledoit_wolf,93,7,134,0.607642952731386
ledoit_wolf_constant_correlation,95,8,116,0.6076009475423776
oracle_approximating,100,7,133,0.6072750425383064
ledoit_wolf_constant_variance,100,7,133,0.6072139868110482
ledoit_wolf,100,7,133,0.6072139868110482
oracle_approximating,102,9,103,0.6069106581741343
ledoit_wolf_constant_correlation,77,7,136,0.6068574537205128
ledoit_wolf_constant_correlation,82,5,190,0.6066673415203796
ledoit_wolf_constant_correlation,97,3,312,0.6065944349541907
oracle_approximating,95,6,156,0.6063068038277069
ledoit_wolf_constant_correlation,94,4,235,0.6058479141942131
ledoit_wolf_single_factor,95,6,156,0.6057185244542904
ledoit_wolf,95,6,156,0.6046010600754755
ledoit_wolf_constant_variance,95,6,156,0.6046010600754755
ledoit_wolf_constant_correlation,89,5,188,0.604014575210931
sample_cov,95,6,156,0.6036431550220289
ledoit_wolf_single_factor,100,8,116,0.6036091557362594
ledoit_wolf_constant_correlation,84,5,189,0.6033056115974555
ledoit_wolf_constant_variance,102,9,103,0.6026052802067561
ledoit_wolf,102,9,103,0.6026052802067561
ledoit_wolf_constant_correlation,73,6,159,0.6026019681193302
