date,open,high,low,close,symbol
2024-02-13,609.34,609.34,510.0,552.99,KZIZP
2024-02-14,557.07,571.99,517.5,539.0,KZIZP
2024-02-15,533.08,554.88,515.13,545.51,KZIZP
2024-02-16,550.0,550.0,525.0,549.0,KZIZP
2024-02-19,559.0,559.0,518.04,544.0,KZIZP
2024-02-20,546.44,547.95,501.0,513.98,KZIZP
2024-02-21,506.19,509.3,469.2,503.8,KZIZP
2024-02-22,510.0,523.96,484.04,520.0,KZIZP
2024-02-26,540.85,540.85,495.0,518.55,KZIZP
2024-02-27,514.89,519.75,505.14,514.56,KZIZP
2024-02-28,505.31,510.14,483.63,507.5,KZIZP
2024-02-29,514.5,517.36,490.85,506.15,KZIZP
2024-03-01,522.0,522.0,480.0,493.3,KZIZP
2024-03-04,499.0,513.98,481.13,497.12,KZIZP
2024-03-05,504.99,508.85,486.01,493.0,KZIZP
2024-03-06,498.22,504.21,480.19,499.99,KZIZP
2024-03-07,499.0,499.0,451.0,484.83,KZIZP
2024-03-11,485.0,497.32,466.1,481.61,KZIZP
2024-03-12,474.08,483.0,462.23,479.86,KZIZP
2024-03-13,481.53,485.0,465.22,478.49,KZIZP
2024-03-14,466.93,495.0,452.4,470.21,KZIZP
2024-03-15,469.55,469.55,455.4,459.55,KZIZP
2024-03-18,464.31,495.43,460.0,468.45,KZIZP
2024-03-19,469.99,495.0,458.99,476.97,KZIZP
2024-03-20,464.11,481.94,462.01,478.98,KZIZP
2024-03-21,477.93,483.89,469.5,470.0,KZIZP
2024-03-22,467.22,475.0,454.27,469.98,KZIZP
2024-03-25,469.0,479.99,460.02,473.0,KZIZP
2024-03-26,479.99,479.99,460.0,468.0,KZIZP
2024-03-27,468.0,470.0,455.0,460.04,KZIZP
2024-03-28,460.1,468.0,450.0,460.25,KZIZP
2024-03-29,460.22,464.99,450.0,459.0,KZIZP
2024-04-01,468.49,468.49,451.0,455.0,KZIZP
2024-04-02,462.68,462.68,447.01,455.99,KZIZP
2024-02-13,88.65,90.6,88.1,89.4,IRKT
2024-02-14,90.3,90.3,87.0,87.0,IRKT
2024-02-15,86.8,89.85,84.3,88.25,IRKT
2024-02-16,88.5,88.9,85.2,85.5,IRKT
2024-02-19,85.7,86.85,85.05,85.75,IRKT
2024-02-20,85.75,85.8,81.2,81.3,IRKT
2024-02-21,80.0,82.5,74.8,77.85,IRKT
2024-02-22,78.2,81.5,77.9,78.7,IRKT
2024-02-26,80.2,82.45,79.8,80.8,IRKT
2024-02-27,80.8,81.95,78.7,80.3,IRKT
2024-02-28,79.85,82.5,79.85,80.75,IRKT
2024-02-29,81.5,82.0,77.15,77.85,IRKT
2024-03-01,77.0,77.75,73.55,74.85,IRKT
2024-03-04,75.0,75.4,72.75,72.9,IRKT
2024-03-05,73.8,76.8,72.95,73.55,IRKT
2024-03-06,74.0,75.7,73.9,74.1,IRKT
2024-03-07,74.55,75.25,73.55,73.85,IRKT
2024-03-11,74.1,74.85,72.45,72.9,IRKT
2024-03-12,73.05,74.0,72.65,72.85,IRKT
2024-03-13,73.0,73.6,72.25,72.9,IRKT
2024-03-14,73.15,73.15,69.55,69.95,IRKT
2024-03-15,70.55,71.2,69.65,70.0,IRKT
2024-03-18,70.5,71.0,69.5,69.8,IRKT
2024-03-19,70.0,70.95,67.6,68.2,IRKT
2024-03-20,68.3,69.05,66.65,67.35,IRKT
2024-03-21,67.75,68.05,66.2,67.3,IRKT
2024-03-22,68.0,70.9,67.05,68.9,IRKT
2024-03-25,69.3,76.0,69.0,75.45,IRKT
2024-03-26,75.65,76.5,72.05,72.85,IRKT
2024-03-27,73.75,73.75,72.15,73.5,IRKT
2024-03-28,73.75,73.9,72.15,72.45,IRKT
2024-03-29,72.75,72.75,70.1,71.15,IRKT
2024-04-01,71.65,74.95,71.5,74.85,IRKT
2024-04-02,75.0,75.6,73.35,73.85,IRKT
2024-02-13,40020.0,40820.0,39860.0,40100.0,VSMO
2024-02-14,40220.0,40560.0,40040.0,40280.0,VSMO
2024-02-15,40280.0,40300.0,39600.0,39900.0,VSMO
2024-02-16,40100.0,40140.0,38940.0,39240.0,VSMO
2024-02-19,39260.0,39700.0,38820.0,39340.0,VSMO
2024-02-20,39340.0,39340.0,38020.0,38220.0,VSMO
2024-02-21,38200.0,38580.0,36400.0,36840.0,VSMO
2024-02-22,36840.0,37460.0,36720.0,37020.0,VSMO
2024-02-26,37020.0,38840.0,37020.0,38400.0,VSMO
2024-02-27,38800.0,38800.0,37820.0,38000.0,VSMO
2024-02-28,37640.0,38200.0,37020.0,37540.0,VSMO
2024-02-29,37320.0,38300.0,37320.0,38120.0,VSMO
2024-03-01,38260.0,38400.0,37800.0,37960.0,VSMO
2024-03-04,37900.0,38180.0,37460.0,37460.0,VSMO
2024-03-05,37800.0,38700.0,37680.0,38340.0,VSMO
2024-03-06,38780.0,38780.0,37880.0,37980.0,VSMO
2024-03-07,38380.0,38380.0,38020.0,38180.0,VSMO
2024-03-11,38580.0,38580.0,38160.0,38160.0,VSMO
2024-03-12,38320.0,38380.0,37820.0,37920.0,VSMO
2024-03-13,38140.0,38140.0,37620.0,37620.0,VSMO
2024-03-14,37640.0,37700.0,37040.0,37100.0,VSMO
2024-03-15,37020.0,37460.0,36840.0,37280.0,VSMO
2024-03-18,37320.0,37440.0,36920.0,37060.0,VSMO
2024-03-19,37060.0,37100.0,36420.0,36760.0,VSMO
2024-03-20,36780.0,36780.0,36420.0,36440.0,VSMO
2024-03-21,36400.0,37440.0,36400.0,37400.0,VSMO
2024-03-22,37800.0,37940.0,36820.0,36900.0,VSMO
2024-03-25,36860.0,37200.0,36760.0,37060.0,VSMO
2024-03-26,37580.0,37580.0,36880.0,37100.0,VSMO
2024-03-27,37080.0,37100.0,36680.0,36940.0,VSMO
2024-03-28,36760.0,36920.0,36620.0,36700.0,VSMO
2024-03-29,36760.0,36760.0,36100.0,36460.0,VSMO
2024-04-01,36580.0,37880.0,36040.0,37540.0,VSMO
2024-04-02,37700.0,39880.0,37580.0,39500.0,VSMO
2024-02-13,1.589,1.607,1.56,1.5805,UNAC
2024-02-14,1.581,1.5975000000000001,1.5715,1.5715,UNAC
2024-02-15,1.5605,1.5899999999999999,1.533,1.5695000000000001,UNAC
2024-02-16,1.573,1.5865,1.5415,1.5535,UNAC
2024-02-19,1.5430000000000001,1.5590000000000002,1.53,1.5385,UNAC
2024-02-20,1.5335,1.538,1.5005,1.514,UNAC
2024-02-21,1.5095,1.5939999999999999,1.48,1.525,UNAC
2024-02-22,1.529,1.5699999999999998,1.51,1.5190000000000001,UNAC
2024-02-26,1.525,1.5659999999999998,1.525,1.5585,UNAC
2024-02-27,1.5635,1.5739999999999998,1.521,1.533,UNAC
2024-02-28,1.533,1.5495,1.5190000000000001,1.5255,UNAC
2024-02-29,1.529,1.553,1.48,1.4809999999999999,UNAC
2024-03-01,1.43,1.4729999999999999,1.405,1.4235,UNAC
2024-03-04,1.43,1.435,1.3865,1.4060000000000001,UNAC
2024-03-05,1.4075,1.46,1.4055,1.434,UNAC
2024-03-06,1.434,1.455,1.41,1.4235,UNAC
2024-03-07,1.4235,1.4675,1.4060000000000001,1.43,UNAC
2024-03-11,1.44,1.44,1.4205,1.424,UNAC
2024-03-12,1.429,1.433,1.4104999999999999,1.42,UNAC
2024-03-13,1.4255,1.427,1.412,1.412,UNAC
2024-03-14,1.4135,1.4144999999999999,1.3479999999999999,1.355,UNAC
2024-03-15,1.365,1.373,1.3519999999999999,1.355,UNAC
2024-03-18,1.3695,1.37,1.3395000000000001,1.351,UNAC
2024-03-19,1.351,1.3665,1.3355000000000001,1.3495,UNAC
2024-03-20,1.3495,1.3525,1.3205,1.3285,UNAC
2024-03-21,1.335,1.3599999999999999,1.33,1.3495,UNAC
2024-03-22,1.359,1.3865,1.2974999999999999,1.3305,UNAC
2024-03-25,1.338,1.4165,1.3325,1.4155,UNAC
2024-03-26,1.418,1.42,1.3655,1.3860000000000001,UNAC
2024-03-27,1.376,1.385,1.3615,1.3705,UNAC
2024-03-28,1.3715,1.3780000000000001,1.35,1.3535,UNAC
2024-03-29,1.3599999999999999,1.3625,1.3405,1.3485,UNAC
2024-04-01,1.375,1.4255,1.367,1.4015,UNAC
2024-04-02,1.4015,1.415,1.3525,1.385,UNAC
2024-02-13,672.6,696.0,668.4,690.2,VKCO
2024-02-14,693.8,698.8,678.0,682.0,VKCO
2024-02-15,681.0,716.0,666.2,674.2,VKCO
2024-02-16,677.8,678.2,657.0,660.0,VKCO
2024-02-19,660.0,669.4,653.2,660.4,VKCO
2024-02-20,660.4,667.0,636.6,644.6,VKCO
2024-02-21,644.0,653.6,626.2,639.0,VKCO
2024-02-22,642.0,649.4,635.4,640.4,VKCO
2024-02-26,653.0,660.8,649.2,659.4,VKCO
2024-02-27,660.0,663.2,646.6,649.0,VKCO
2024-02-28,651.2,654.6,638.4,641.4,VKCO
2024-02-29,642.0,654.2,638.8,652.6,VKCO
2024-03-01,665.0,667.0,656.0,657.4,VKCO
2024-03-04,662.0,665.0,655.6,660.0,VKCO
2024-03-05,662.0,664.4,654.0,658.4,VKCO
2024-03-06,658.6,660.0,649.2,652.8,VKCO
2024-03-07,655.6,660.0,651.2,655.0,VKCO
2024-03-11,658.6,659.4,652.6,654.4,VKCO
2024-03-12,654.0,654.8,645.4,647.8,VKCO
2024-03-13,649.0,653.4,641.2,643.0,VKCO
2024-03-14,642.0,645.2,632.4,633.4,VKCO
2024-03-15,632.4,638.8,627.2,629.8,VKCO
2024-03-18,633.0,652.0,630.4,644.0,VKCO
2024-03-19,645.2,648.0,625.0,632.2,VKCO
2024-03-20,632.2,636.0,622.0,627.4,VKCO
2024-03-21,627.4,641.0,624.0,630.6,VKCO
2024-03-22,630.6,631.8,594.2,605.0,VKCO
2024-03-25,609.6,616.2,594.2,607.6,VKCO
2024-03-26,610.0,619.0,607.4,618.0,VKCO
2024-03-27,618.6,623.4,610.6,614.4,VKCO
2024-03-28,615.0,618.0,606.8,608.6,VKCO
2024-03-29,608.6,613.6,607.2,609.8,VKCO
2024-04-01,612.2,623.8,612.2,618.0,VKCO
2024-04-02,619.8,621.4,610.0,614.8,VKCO
2024-02-13,1.08,1.088,1.07,1.082,TTLK
2024-02-14,1.087,1.11,1.0825,1.099,TTLK
2024-02-15,1.103,1.1295,1.102,1.1215,TTLK
2024-02-16,1.1255,1.138,1.096,1.1095,TTLK
2024-02-19,1.108,1.119,1.0975,1.101,TTLK
2024-02-20,1.101,1.1125,1.0705,1.081,TTLK
2024-02-21,1.068,1.075,1.0,1.01,TTLK
2024-02-22,1.0,1.08,0.9995,1.035,TTLK
2024-02-26,1.073,1.095,1.046,1.0685,TTLK
2024-02-27,1.0825,1.0945,1.059,1.079,TTLK
2024-02-28,1.0755,1.0895,1.07,1.072,TTLK
2024-02-29,1.072,1.092,1.0515,1.0625,TTLK
2024-03-01,1.0625,1.0785,1.061,1.0745,TTLK
2024-03-04,1.0745,1.1155,1.0745,1.103,TTLK
2024-03-05,1.109,1.11,1.082,1.091,TTLK
2024-03-06,1.091,1.099,1.0825,1.0905,TTLK
2024-03-07,1.085,1.0985,1.085,1.093,TTLK
2024-03-11,1.099,1.1075,1.087,1.087,TTLK
2024-03-12,1.095,1.095,1.064,1.078,TTLK
2024-03-13,1.0715,1.0815,1.0655000000000001,1.0695000000000001,TTLK
2024-03-14,1.066,1.069,1.0505,1.0555,TTLK
2024-03-15,1.055,1.087,1.0545,1.0665,TTLK
2024-03-18,1.072,1.0975,1.0415,1.061,TTLK
2024-03-19,1.067,1.1115,1.053,1.07,TTLK
2024-03-20,1.067,1.0775,1.039,1.066,TTLK
2024-03-21,1.066,1.0875,1.0655000000000001,1.083,TTLK
2024-03-22,1.092,1.1,1.069,1.0735,TTLK
2024-03-25,1.0705,1.0805,1.051,1.0695000000000001,TTLK
2024-03-26,1.08,1.1085,1.0555,1.0615,TTLK
2024-03-27,1.067,1.0775,1.059,1.0615,TTLK
2024-03-28,1.065,1.0725,1.0625,1.063,TTLK
2024-03-29,1.0635,1.07,1.058,1.0625,TTLK
2024-04-01,1.064,1.075,1.064,1.073,TTLK
2024-04-02,1.0735,1.1280000000000001,1.069,1.111,TTLK
2024-02-13,7249.5,7313.0,7200.5,7250.0,MGNT
2024-02-14,7270.0,7428.5,7253.5,7420.0,MGNT
2024-02-15,7420.5,7508.0,7403.0,7471.5,MGNT
2024-02-16,7484.5,7494.5,7332.0,7424.5,MGNT
2024-02-19,7438.0,7516.5,7385.0,7399.5,MGNT
2024-02-20,7399.5,7491.0,7255.0,7256.5,MGNT
2024-02-21,7254.0,7399.0,7152.0,7199.0,MGNT
2024-02-22,7210.0,7278.5,7200.0,7272.0,MGNT
2024-02-26,7344.0,7450.0,7336.5,7401.0,MGNT
2024-02-27,7430.0,7499.5,7340.5,7499.5,MGNT
2024-02-28,7530.0,7686.0,7504.0,7631.5,MGNT
2024-02-29,7635.0,7679.0,7581.5,7651.5,MGNT
2024-03-01,7652.0,7725.0,7612.5,7634.0,MGNT
2024-03-04,7639.5,7710.0,7592.0,7698.0,MGNT
2024-03-05,7704.0,7739.5,7600.0,7610.0,MGNT
2024-03-06,7600.5,7678.5,7550.5,7613.0,MGNT
2024-03-07,7605.0,7651.0,7562.0,7646.0,MGNT
2024-03-11,7660.0,7767.5,7630.5,7760.0,MGNT
2024-03-12,7750.0,7794.0,7701.5,7744.0,MGNT
2024-03-13,7760.5,7764.0,7630.0,7648.5,MGNT
2024-03-14,7648.5,7648.5,7551.0,7607.5,MGNT
2024-03-15,7605.0,7695.0,7591.5,7611.5,MGNT
2024-03-18,7629.0,7676.0,7609.0,7636.0,MGNT
2024-03-19,7635.0,7686.5,7573.0,7586.0,MGNT
2024-03-20,7575.5,7663.0,7522.0,7599.0,MGNT
2024-03-21,7616.5,7650.0,7560.0,7604.0,MGNT
2024-03-22,7604.5,7608.5,7374.5,7410.5,MGNT
2024-03-25,7448.5,7640.0,7432.5,7611.5,MGNT
2024-03-26,7649.5,7700.0,7598.5,7689.0,MGNT
2024-03-27,7694.0,7749.5,7625.0,7709.0,MGNT
2024-03-28,7709.0,7878.0,7690.0,7740.5,MGNT
2024-03-29,7771.5,7968.0,7736.0,7896.0,MGNT
2024-04-01,7905.0,7988.0,7890.0,7943.0,MGNT
2024-04-02,7947.0,7965.0,7752.5,7818.0,MGNT
2024-02-13,91.1,95.3,89.8,93.7,SPBE
2024-02-14,95.0,95.0,92.6,93.0,SPBE
2024-02-15,93.4,93.5,91.2,93.2,SPBE
2024-02-16,93.2,93.5,91.8,92.0,SPBE
2024-02-19,91.5,92.8,90.5,91.6,SPBE
2024-02-20,92.0,92.0,88.2,88.9,SPBE
2024-02-21,88.5,89.4,83.0,86.7,SPBE
2024-02-22,86.5,91.0,84.6,85.7,SPBE
2024-02-26,84.0,85.1,81.8,83.7,SPBE
2024-02-27,83.7,91.6,82.9,90.1,SPBE
2024-02-28,91.2,92.0,86.1,87.9,SPBE
2024-02-29,88.7,89.3,86.3,87.9,SPBE
2024-03-01,89.6,89.6,87.2,87.8,SPBE
2024-03-04,88.6,89.9,87.1,89.1,SPBE
2024-03-05,88.6,89.4,87.2,87.8,SPBE
2024-03-06,87.8,88.8,87.4,87.6,SPBE
2024-03-07,87.6,88.5,85.8,87.1,SPBE
2024-03-11,87.6,94.3,87.0,91.0,SPBE
2024-03-12,90.6,92.7,88.2,90.2,SPBE
2024-03-13,90.8,90.8,89.0,89.3,SPBE
2024-03-14,89.4,90.5,88.1,88.4,SPBE
2024-03-15,88.7,89.6,83.0,87.7,SPBE
2024-03-18,87.8,89.4,87.3,87.8,SPBE
2024-03-19,88.5,88.9,86.1,86.5,SPBE
2024-03-20,87.8,88.5,86.0,86.5,SPBE
2024-03-21,86.2,94.0,86.1,88.9,SPBE
2024-03-22,88.8,91.9,85.4,86.3,SPBE
2024-03-25,88.5,88.5,86.5,87.8,SPBE
2024-03-26,87.8,90.1,87.6,89.5,SPBE
2024-03-27,89.5,91.0,85.8,89.6,SPBE
2024-03-28,90.0,90.9,89.1,89.5,SPBE
2024-03-29,90.1,90.9,88.1,89.0,SPBE
2024-04-01,88.7,90.1,88.7,89.5,SPBE
2024-04-02,89.1,90.8,89.1,90.4,SPBE
2024-02-13,17.25,17.97,17.22,17.8,SVCB
