,weights,lot,price,lot_quantity,quantity,sum
RBCM,26926.4,100,18.826,14,1400,26356.4
RNFT,17029.4,1,272.3,63,63,17154.9
LENT,6362.3,1,1021.0,6,6,6126.0
AFKS,5920.0,100,23.85,2,200,4770.0
AFLT,5426.4,10,50.19,11,110,5520.9
RKKE,4704.7,1,31720.0,0,0,0.0
DELI,4410.6,1,354.0,12,12,4248.0
UGLD,4353.0,1000,0.97,4,4000,3880.0
PLZL,3668.7,1,13480.0,0,0,0.0
POSI,3600.9,1,2825.4,1,1,2825.4
HHRU,3514.3,1,4435.0,1,1,4435.0
SELG,3503.0,10,82.11,4,40,3284.4
OZON,3260.8,1,3844.5,1,1,3844.5
WUSH,3168.3,1,320.73,10,10,3207.3
CIAN,2774.3,1,867.2,3,3,2601.6000000000004
BANE,2239.0,1,3391.5,1,1,3391.5
RTKMP,2057.1,10,86.05,2,20,1721.0
ASTR,1838.2,1,655.35,3,3,1966.0500000000002
MOEX,1698.5,10,230.86,1,10,2308.6000000000004
RTKM,1514.1,10,98.0,2,20,1960.0
ENPG,1409.7,1,521.0,3,3,1563.0
